"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FF","2026-07-18","95.2","-2.42","5.69","Rodriguez, Grayson",682985,680570,"field_out","hit_into_play",,,,,1,"Riley Greene flies out sharply to center fielder Mike Trout.","R","L","R","LAA","DET","X",8,"fly_ball",1,1,2026,"-0.86","1.29",-0.27663949928863507,3.2946542326311845,693307,,690993,2,4,"Top",113.51,57.22,,,,,7.620116956848133,-138.34097864820376,-3.3791024697081986,-12.871710106994872,33.76311381011868,-15.128355358738597,3.303379265,1.667125984,352,"101.8",47,"96",2124,"7",824008,681351,694384,687093,694203,687263,642350,545361,666176,"53.47",0.017,0.021,"0",1,0,0,3,33,3,"4-Seam Fastball",0,6,6,0,6,0,6,0,"Standard","Standard",220,"0.009","-0.283","73.9","6.8",,0.045,"0.283","101.8",-6,6,0.049,0.951,26,25,27,26,3,2,8,1,,1,"1.25","0.86","-0.86","38.1",13.269489379489938,2.2951697384270995,35.06762425299802,37.74698897799365,32.0404528897311
"CH","2026-07-18","81.9","-2.48","5.62","Rodriguez, Grayson",682985,680570,,"swinging_strike",,,,,14,,"R","L","R","LAA","DET","S",,,1,0,2026,"-1.3","0.31",0.3721997757451778,1.2337978064060708,693307,,690993,2,4,"Top",,,,,,,9.066566152853573,-118.96109452388978,-3.73097509169362,-14.10103663540638,22.995700397882338,-28.65296738568255,3.303379265,1.667125984,,,,"83.3",1803,"7.3",824008,681351,694384,687093,694203,687263,642350,545361,666176,"53.2",,,,,,,,33,2,"Changeup",0,6,6,0,6,0,6,0,"Standard","Standard",249,"0","-0.033",,,,,"0.033",,-6,6,0.049,0.951,26,25,27,26,3,2,8,1,,1,"3.1","1.3","-1.3","38.3",,,,,
"CH","2026-07-18","82.3","-2.44","5.63","Rodriguez, Grayson",682985,680570,,"ball",,,,,11,,"R","L","R","LAA","DET","B",,,0,0,2026,"-1.2","0.26",-1.123810165042373,2.9749538633582526,693307,,690993,2,4,"Top",,,,,,,5.42662895439955,-119.74012063303063,0.2226487882480297,-12.608310658053407,23.348194222589633,-29.962406822876837,3.303379265,1.667125984,,,,"83.7",1800,"7.3",824008,681351,694384,687093,694203,687263,642350,545361,666176,"53.24",,,,,,,,33,1,"Changeup",0,6,6,0,6,0,6,0,"Standard","Standard",251,"0","0.02",,,,,"-0.02",,-6,6,0.049,0.951,26,25,27,26,3,2,8,1,,1,"3.11","1.2","-1.2","36.3",,,,,
"FF","2026-07-18","95.3","-2.36","5.66","Rodriguez, Grayson",690993,680570,"single","hit_into_play",,,,,1,"Colt Keith singles on a sharp ground ball to shortstop Zach Neto. Dillon Dingler to 3rd.","R","L","R","LAA","DET","X",6,"ground_ball",1,2,2026,"-0.52","1.48",-0.3834585650572865,3.161847437095788,,693307,,2,4,"Top",101.9,126.91,,,,,6.408324279693754,-138.5077627589383,-4.1092025580753955,-8.21326875247323,34.179074644368654,-12.485154205893961,3.27792815,1.654281496,4,"100.1",-37,"96.2",2085,"7.1",824008,681351,694384,687093,694203,687263,642350,545361,666176,"53.41",0.073,0.066,"0.9",1,1,0,2,32,4,"4-Seam Fastball",0,6,6,0,6,0,6,0,"Standard","Standard",221,"-0.005","0.776","68.3","5.3",,0.08,"-0.776","100.1",-6,6,0.054,0.946,26,24,27,25,3,2,8,1,,1,"1.06","0.52","-0.52","37.6",-11.675028024240264,28.637640231224356,27.78962935836817,42.51299361581465,10.623012040349582
"CH","2026-07-18","79.8","-2.52","5.6","Rodriguez, Grayson",690993,680570,,"ball",,,,,13,,"R","L","R","LAA","DET","B",,,0,2,2026,"-0.81","0.87",-0.8258549549735389,1.1501909188598023,,693307,,2,4,"Top",,,,,,,5.332752939379249,-116.08416736200863,-4.514703283939082,-8.306847629359336,22.56830851755282,-23.663198290217988,3.27792815,1.654281496,,,,"81.3",1632,"7.4",824008,681351,694384,687093,694203,687263,642350,545361,666176,"53.1",,,,,,,,32,3,"Changeup",0,6,6,0,6,0,6,0,"Standard","Standard",247,"0","0.002",,,,,"-0.002",,-6,6,0.054,0.946,26,24,27,25,3,2,8,1,,1,"2.72","0.81","-0.81","37.2",,,,,
"CH","2026-07-18","81","-2.44","5.72","Rodriguez, Grayson",690993,680570,,"swinging_strike",,,,,14,,"R","L","R","LAA","DET","S",,,0,1,2026,"-1.01","0.6",0.4759865260026477,1.1647348821625325,,693307,,2,4,"Top",,,,,,,8.525083659905073,-117.58407449365636,-4.474965253899916,-11.000838407663853,22.21854963870161,-25.964826636212084,3.27792815,1.654281496,,,,"82.3",1762,"7.3",824008,681351,694384,687093,694203,687263,642350,545361,666176,"53.24",,,,,,,,32,2,"Changeup",0,6,6,0,6,0,6,0,"Standard","Standard",242,"0.001","-0.056","32.6","7.4","4.619159964",,"0.056",,-6,6,0.053,0.947,26,24,27,25,3,2,8,1,,1,"2.89","1.01","-1.01","37.1",27.420978769563348,-15.661642655763814,36.870118274594496,32.27953274673589,40.053731017321
"CH","2026-07-18","82","-2.43","5.64","Rodriguez, Grayson",690993,680570,,"called_strike",,,,,9,,"R","L","R","LAA","DET","S",,,0,0,2026,"-0.85","0.64",0.5791880150531705,1.5362980450298602,,693307,,2,4,"Top",,,,,,,8.53750411671972,-119.10513986343271,-3.751726688129387,-9.770092755769706,23.945826551822147,-25.514073115357082,3.27792815,1.654281496,,,,"83.2",1736,"7.3",824008,681351,694384,687093,694203,687263,642350,545361,666176,"53.18",,,,,,,,32,1,"Changeup",0,6,6,0,6,0,6,0,"Standard","Standard",249,"0.001","-0.039",,,,,"0.039",,-6,6,0.052,0.948,26,24,27,25,3,2,8,1,,1,"2.77","0.85","-0.85","36.7",,,,,
"FF","2026-07-18","95.6","-2.47","5.56","Rodriguez, Grayson",693307,680570,"double","hit_into_play",,,,,6,"Dillon Dingler doubles (20) on a sharp line drive to left fielder Jose Siri.","R","R","R","LAA","DET","X",7,"line_drive",3,2,2026,"-0.95","1.41",0.4402646662827092,2.4577269915085327,,,,2,4,"Top",94.28,72.17,,,,,9.908179480236564,-138.82984700736205,-5.6255468346109865,-14.55966447605925,32.0265902001645,-12.855424678796526,3.271784777,1.651181102,324,"104",16,"96.8",2220,"7.2",824008,681351,694384,687093,694203,687263,642350,545361,666176,"53.33",0.534,0.591,"1.25",1,1,1,5,31,6,"4-Seam Fastball",0,6,6,0,6,0,6,0,"Standard","Standard",222,"-0.004","0.502","75.9","7.3",,0.871,"-0.502","104.0",-6,6,0.056,0.944,26,27,27,28,3,2,8,1,,1,"1.1","0.95","0.95","38.0",13.146514107108414,-5.284835293265501,35.86663378149531,38.04970488736866,30.402039197124104
"SL","2026-07-18","85.7","-2.6","5.54","Rodriguez, Grayson",693307,680570,,"foul",,,,,14,,"R","R","R","LAA","DET","S",,,3,1,2026,"0.36","0.49",1.3778822630834675,1.6304239951093908,,,,2,4,"Top",,,,,,,8.66920813685898,-124.56544194247408,-3.806005075435463,2.114642067976351,23.568312090545376,-26.506286615475684,3.271784777,1.651181102,3,"63.2",-34,"87.2",2373,"7.1",824008,681351,694384,687093,694203,687263,642350,545361,666176,"53.36",,,,,,,,31,5,"Slider",0,6,6,0,6,0,6,0,"Standard","Standard",126,"0.001","-0.094","72.9","8.2",,,"0.094","88.0",-6,6,0.055,0.945,26,27,27,28,3,2,8,1,,1,"2.61","-0.36","-0.36","42.7",20.735978597151863,-3.400793888857788,36.430995464436336,49.10983773163472,35.928818535259545
"FF","2026-07-18","94.8","-2.51","5.6","Rodriguez, Grayson",693307,680570,,"called_strike",,,,,14,,"R","R","R","LAA","DET","S",,,3,0,2026,"-0.97","1.32",0.9059899409788408,2.023947233344714,,,,2,4,"Top",,,,,,,11.18282302224973,-137.47094752831552,-6.480634722002777,-14.837302140231955,32.26636779237512,-14.147998132865155,3.271784777,1.651181102,,,,"95.9",2279,"7.2",824008,681351,694384,687093,694203,687263,642350,545361,666176,"53.28",,,,,,,,31,4,"4-Seam Fastball",0,6,6,0,6,0,6,0,"Standard","Standard",218,"0","-0.064",,,,,"0.064",,-6,6,0.055,0.945,26,27,27,28,3,2,8,1,,1,"1.25","0.97","0.97","37.3",,,,,
