"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FF","2026-07-25","91.9","2.68","6.04","Guzman, Denzer",694203,592662,"field_out","hit_into_play",,,,,14,"Denzer Guzman grounds out to first baseman Rafael Devers.","R","R","L","SF","LAA","X",3,"ground_ball",2,1,2026,"0.76","1.27",0.860344502734676,2.3087063981653397,,,666176,2,6,"Top",143.7,171.45,,,,,-6.208148473821813,-133.72214216848985,-6.223662511553653,10.388376364752743,25.766774193964185,-15.786648188227499,3.250721785,1.640551181,7,"71.5",-17,"92.2",2304,"6.2",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.27",0.06,0.055,"0",1,0,0,2,52,4,"4-Seam Fastball",9,0,0,9,0,9,0,9,"Infield shade","Standard",144,"0.001","-0.318","68.1","7.1",,0.061,"0.318","88.0",9,-9,0.997,0.0030000000000000027,34,22,35,22,3,2,,,,,"1.41","0.76","-0.76",,-19.61568981860942,31.38386187349732,33.25305930745118,41.813684884764115,4.686957780937236
"SI","2026-07-25","92.6","2.67","6.01","Guzman, Denzer",694203,592662,,"foul",,,,,14,,"R","R","L","SF","LAA","S",,,2,0,2026,"1.33","1.03",0.9308911501560857,2.359234852726284,,,666176,2,6,"Top",,,,,,,-7.333722987490504,-134.6653835660141,-5.602917380543057,17.760691497015547,27.79369696497046,-18.575944798159558,3.250721785,1.640551181,210,"71.7",42,"92.8",2307,"6.3",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.18",,,,,,,,52,3,"Sinker",9,0,0,9,0,9,0,9,"Infield shade","Standard",142,"0","-0.052","72.7","7.6",,,"0.052","88.0",9,-9,0.997,0.0030000000000000027,34,22,35,22,3,2,,,,,"1.62","1.33","-1.33",,-11.318361816299081,14.577065046458355,32.19437408227261,42.84061831469313,17.69138076494402
"SL","2026-07-25","82.4","2.79","6.14","Guzman, Denzer",694203,592662,,"ball",,,,,14,,"R","R","L","SF","LAA","B",,,1,0,2026,"0.25","0.23",1.326228026842351,1.2631985651414372,,,666176,2,6,"Top",,,,,,,-3.757003223591642,-120.04849948257554,-4.878259985710103,3.0617618872347987,19.491068155539477,-29.253037863217934,3.250721785,1.640551181,,,,"82.7",2165,"6.1",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.45",,,,,,,,52,2,"Slider",9,0,0,9,0,9,0,9,"Infield shade","Standard",135,"0","0.05",,,,,"-0.05",,9,-9,0.997,0.0030000000000000027,34,22,35,22,3,2,,,,,"3.07","0.25","-0.25",,,,,,
"SI","2026-07-25","91.6","2.94","5.87","Guzman, Denzer",694203,592662,,"ball",,,,,12,,"R","R","L","SF","LAA","B",,,0,0,2026,"1.23","0.8",1.085616856526967,2.907125082691808,,,666176,2,6,"Top",,,,,,,-7.322227399577476,-133.32589985430175,-3.215303957101112,16.252367014574666,27.117421782814308,-22.074272416691468,3.250721785,1.640551181,,,,"91.7",2190,"6.2",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.29",,,,,,,,52,1,"Sinker",9,0,0,9,0,9,0,9,"Infield shade","Standard",138,"0","0.041",,,,,"-0.041",,9,-9,0.997,0.0030000000000000027,34,22,35,22,3,2,,,,,"1.9","1.23","-1.23",,,,,,
"SI","2026-07-25","92.6","2.76","6.04","Guzman, Denzer",694203,592662,"field_out","hit_into_play",,,,,12,"Denzer Guzman lines out to right fielder Jung Hoo Lee.","R","R","L","SF","LAA","X",9,"line_drive",0,0,2026,"1.1","1.03",0.9492627184846829,2.8229107575487773,,,,2,4,"Top",208.31,102.7,,,,,-7.0037334916177505,-134.70833111677442,-4.550294111970419,14.88860747094976,25.963756022135605,-18.792507245157122,3.250721785,1.640551181,313,"94.9",19,"92.9",2211,"6.3",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.25",0.354,0.401,"0",1,0,0,4,32,1,"Sinker",5,0,0,5,0,5,0,5,"Infield shade","Standard",141,"0.004","-0.259","72.3","7.7",,0.588,"0.259","94.9",5,-5,0.942,0.05800000000000005,34,22,35,22,2,1,,,,,"1.6","1.1","-1.1",,-4.602352774102136,11.194586360312673,27.42891997998593,45.14605136420926,17.334462247317568
"CH","2026-07-25","85.4","2.85","6.24","Guzman, Denzer",694203,592662,"field_out","hit_into_play",,,,,12,"Denzer Guzman lines out to left fielder Heliot Ramos.","R","R","L","SF","LAA","X",7,"line_drive",1,1,2026,"0.64","1.07",0.9255839289739269,2.821219583208931,,,666176,1,2,"Top",71.88,111.4,,,,,-5.7816483737745745,-124.34981493243687,-3.840280583497166,7.651108511545355,21.15447012231694,-20.49114950784188,3.250721785,1.640551181,257,"76.8",25,"86",1720,"6.3",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.2",0.7,0.646,"0",1,0,0,4,11,3,"Changeup",0,0,0,0,0,0,0,0,"Infield shade","Standard",153,"0.029","-0.249","69.5","8.5",,0.777,"0.249","88.0",0,0,0.499,0.501,34,22,35,22,1,0,,,,,"2.02","0.64","-0.64",,7.854080194116581,-19.9084076925515,21.909327447625458,45.65899592318689,36.54465408196644
"FF","2026-07-25","92","2.63","6.39","Guzman, Denzer",694203,592662,,"ball",,,,,12,,"R","R","L","SF","LAA","B",,,0,1,2026,"0.75","1.41",1.6083637289820243,4.836932177358088,,,666176,1,2,"Top",,,,,,,-4.17597625473555,-134.0488583853021,-1.1058146653858225,9.940589098679498,26.6303655078752,-15.033345095557184,3.250721785,1.640551181,,,,"91.8",2277,"5.9",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.58",,,,,,,,11,2,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Infield shade","Standard",149,"-0.003","0.029",,,,,"-0.029",,0,0,0.502,0.498,34,22,35,22,1,0,,,,,"1.26","0.75","-0.75",,,,,,
"SI","2026-07-25","93.1","2.66","6.07","Guzman, Denzer",694203,592662,,"foul",,,,,9,,"R","R","L","SF","LAA","S",,,0,0,2026,"1.16","1",0.5943755968403988,1.7234536116438228,,,666176,1,2,"Top",,,,,,,-7.80484360925145,-135.28027842599153,-7.414509808035067,15.885927568792278,26.048599036755295,-18.51736908188686,3.250721785,1.640551181,192,"70.7",25,"93.5",2256,"6.3",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.16",,,,,,,,11,1,"Sinker",0,0,0,0,0,0,0,0,"Infield shade","Standard",143,"0.005","-0.041","70.9","8.1",,,"0.041","88.0",0,0,0.497,0.503,34,22,35,22,1,0,,,,,"1.61","1.16","-1.16",,-2.740444576835096,2.465855909876153,39.81605784422514,41.707672419132585,23.014992993191598
"SI","2026-07-25","94.2","-1.51","6.25","Guzman, Denzer",694203,676775,"field_out","hit_into_play",,,,,2,"Denzer Guzman grounds out, shortstop Willy Adames to first baseman Casey Schmitt.","R","R","R","SF","LAA","X",6,"ground_ball",1,0,2026,"-0.84","0.81",0.22955623910538347,3.0599866336281822,,,,0,9,"Top",116.48,155.22,,,,,6.327544928043579,-137.04707768465346,-4.232335936540417,-11.917629082201596,28.506543007282122,-21.183758984275045,3.250721785,1.640551181,11,"101",-16,"94.1",2287,"6.1",823197,691740,669477,683679,683766,642715,671218,687551,687529,"54.37",0.174,0.175,"0",1,0,0,2,73,2,"Sinker",9,1,1,9,1,9,1,9,"Standard","Standard",219,"0","-0.308","70.9","7.6",,0.184,"0.308","101.0",8,-8,0.999,0.0010000000000000009,28,22,28,22,1,3,,,,,"1.74","0.84","0.84",,2.7604227280984555,-2.0777232209580982,26.887951441292433,36.10176734677708,27.567413495029353
"FF","2026-07-25","95.1","-1.49","6.26","Guzman, Denzer",694203,676775,,"ball",,,,,12,,"R","R","R","SF","LAA","B",,,0,0,2026,"-0.61","0.94",1.1497587356413255,3.2041368287393346,,,,0,9,"Top",,,,,,,8.192034479328461,-138.30548201110426,-4.311616607040741,-9.577798057585827,28.666203805680908,-19.351353930773417,3.250721785,1.640551181,,,,"95.2",2385,"6.2",823197,691740,669477,683679,683766,642715,671218,687551,687529,"54.27",,,,,,,,73,1,"4-Seam Fastball",9,1,1,9,1,9,1,9,"Standard","Standard",216,"0","0.044",,,,,"-0.044",,8,-8,0.999,0.0010000000000000009,28,22,28,22,1,3,,,,,"1.57","0.61","0.61",,,,,,
