"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FF","2026-07-25","92.1","2.36","6.07","Adell, Jo",666176,592662,"single","hit_into_play",,,,,5,"Jo Adell singles on a line drive to right fielder Jung Hoo Lee. Nolan Schanuel out at 3rd on the throw, right fielder Jung Hoo Lee to third baseman Casey Schmitt.","R","R","L","SF","LAA","X",9,"line_drive",0,0,2026,"0.62","1.34",-0.25985521416339763,2.4458458094988487,,,694384,1,6,"Top",167.56,115.16,,,,,-7.922084488254122,-133.92952281001587,-6.169212446462991,8.995691714840477,25.62090673991725,-14.8686147229942,3.305134514,1.668011811,199,"68.9",24,"92.5",2357,"6.3",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.2",0.98,0.883,"0.9",1,1,0,4,51,1,"4-Seam Fastball",9,0,0,9,0,9,0,9,"Standard","Standard",148,"0.001","0.408","77.3","6.8",,1.025,"-0.408","88.0",9,-9,0.996,0.0040000000000000036,34,27,35,27,3,2,,,,,"1.33","0.62","-0.62",,-1.1435023243609141,7.328082637706593,42.67369415374497,30.118834969995078,21.409404945649445
"CH","2026-07-25","88.5","2.52","6.07","Adell, Jo",666176,592662,"strikeout","called_strike",,,,,7,"Jo Adell challenged (pitch result), call on the field was confirmed: Jo Adell called out on strikes.","R","R","L","SF","LAA","S",2,,1,2,2026,"0.98","1.1",-0.6083168617117942,2.0992317202135107,,,,1,4,"Top",,,,,,,-9.566115965188065,-128.53882558493126,-5.774969175158442,12.688861738492243,22.67118778729751,-18.941961984839374,3.305134514,1.668011811,,,,"88.7",1672,"6.2",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.29",,0,"0",1,0,0,,31,5,"Changeup",5,0,0,5,0,5,0,5,"Strategic","Standard",140,"0.006","-0.183",,,,,"0.183",,5,-5,0.936,0.06399999999999995,34,27,35,27,2,1,,,,,"1.79","0.98","-0.98",,,,,,
"FF","2026-07-25","93.6","2.58","6.12","Adell, Jo",666176,592662,,"foul",,,,,8,,"R","R","L","SF","LAA","S",,,1,2,2026,"0.82","1.24",0.003569121334410341,2.117266653475772,,,,1,4,"Top",,,,,,,-8.3647478040128,-136.10791571287604,-7.199395563946586,11.876320039590631,24.83764172503457,-15.410702441617783,3.305134514,1.668011811,216,"73.5",33,"94",2300,"6.2",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.32",,,,,,,,31,4,"4-Seam Fastball",5,0,0,5,0,5,0,5,"Strategic","Standard",142,"0","0","77.7","7.1",,,"0","88.0",5,-5,0.936,0.06399999999999995,34,27,35,27,2,1,,,,,"1.33","0.82","-0.82",,-0.7778938590919448,10.214345730073363,44.89803890427012,32.73587203403876,16.008977384243757
"FF","2026-07-25","93.2","2.44","6.17","Adell, Jo",666176,592662,,"called_strike",,,,,5,,"R","R","L","SF","LAA","S",,,1,1,2026,"0.73","1.44",-0.1129429345396088,2.2422695343294556,,,,1,4,"Top",,,,,,,-8.079020254107013,-135.50169338289507,-7.344377999183887,10.72449497839377,27.157237810892767,-12.93434023161533,3.305134514,1.668011811,,,,"93.3",2285,"6.2",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.29",,,,,,,,31,3,"4-Seam Fastball",5,0,0,5,0,5,0,5,"Infield shade","Standard",145,"0.002","-0.074",,,,,"0.074",,5,-5,0.934,0.06599999999999995,34,27,35,27,2,1,,,,,"1.17","0.73","-0.73",,,,,,
"KC","2026-07-25","78.9","2.91","6.04","Adell, Jo",666176,592662,,"foul",,,,,9,,"R","R","L","SF","LAA","S",,,1,0,2026,"-0.3","-0.35",0.4279280372761717,2.1381606987451125,,,,1,4,"Top",,,,,,,-4.743700742024228,-115.01407522606239,-0.9456987077952381,-2.0133924889997945,17.560491746739075,-35.332915455380785,3.305134514,1.668011811,124,"65",23,"79.2",2155,"6",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.52",,,,,,,,31,2,"Knuckle Curve",5,0,0,5,0,5,0,5,"Infield shade","Standard",312,"0.002","-0.05","77.9","8.5",,,"0.05","88.0",5,-5,0.932,0.06799999999999995,34,27,35,27,2,1,,,,,"3.94","-0.3","0.3",,16.264092568198738,-18.60467444230338,33.45673029791888,39.511358522707674,34.86205854828489
"SI","2026-07-25","90","2.81","6.06","Adell, Jo",666176,592662,,"ball",,,,,12,,"R","R","L","SF","LAA","B",,,0,0,2026,"1.17","0.98",0.9165252690806203,3.3138764955714866,,,,1,4,"Top",,,,,,,-7.137064136762857,-131.07267041823542,-2.852166522635958,14.887381374067331,23.318199753538114,-20.414803878450716,3.305134514,1.668011811,,,,"90.4",2206,"6.1",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.39",,,,,,,,31,1,"Sinker",5,0,0,5,0,5,0,5,"Infield shade","Standard",143,"-0.002","0.043",,,,,"-0.043",,5,-5,0.934,0.06599999999999995,34,27,35,27,2,1,,,,,"1.79","1.17","-1.17",,,,,,
"FF","2026-07-25","93.4","2.7","6.17","Adell, Jo",666176,592662,"walk","ball",,,,,7,"Jo Adell walks.","R","R","L","SF","LAA","B",,,3,1,2026,"0.8","1.48",-0.768340619948024,1.679055896974357,,,,1,2,"Top",,,,,,,-10.555207487068873,-135.5657295604555,-8.94741040161249,11.871456969109756,23.697767520292388,-12.087455152675307,3.305134514,1.668011811,,,,"93.7",2405,"6.2",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.31",,0.698079,"0.7",1,0,0,,10,5,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Infield shade","Standard",147,"-0.016","0.247",,,,,"-0.247",,0,0,0.513,0.487,34,27,35,27,1,0,,,,,"1.1","0.8","-0.8",,,,,,
"SI","2026-07-25","92.9","2.84","6.17","Adell, Jo",666176,592662,,"called_strike",,,,,9,,"R","R","L","SF","LAA","S",,,3,0,2026,"1.16","0.9",0.6221508741258126,2.1572412103790373,,,,1,2,"Top",,,,,,,-8.12306473570208,-135.04707288599909,-6.27942897166014,15.878705912657287,25.98253632034577,-20.042409305596898,3.305134514,1.668011811,,,,"92.7",2267,"6",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.53",,,,,,,,10,4,"Sinker",0,0,0,0,0,0,0,0,"Infield shade","Standard",139,"0.006","-0.084",,,,,"0.084",,0,0,0.507,0.493,34,27,35,27,1,0,,,,,"1.73","1.16","-1.16",,,,,,
"SI","2026-07-25","91.9","2.64","6.1","Adell, Jo",666176,592662,,"ball",,,,,14,,"R","R","L","SF","LAA","B",,,2,0,2026,"1.46","1.11",0.7691617403141047,0.884844026622901,,,,1,2,"Top",,,,,,,-7.84183388576341,-133.32597245542254,-9.455413128226038,19.12041467053841,29.355013519648338,-16.96299326173484,3.305134514,1.668011811,,,,"91.3",2163,"6.2",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.33",,,,,,,,10,3,"Sinker",0,0,0,0,0,0,0,0,"Infield shade","Standard",136,"-0.008","0.14",,,,,"-0.14",,0,0,0.515,0.485,34,27,35,27,1,0,,,,,"1.61","1.46","-1.46",,,,,,
"CH","2026-07-25","86.9","2.83","6.31","Adell, Jo",666176,592662,,"ball",,,,,14,,"R","R","L","SF","LAA","B",,,1,0,2026,"1.06","1.2",0.04104171959926206,0.779609935673339,,,,1,2,"Top",,,,,,,-8.728092394393121,-125.97969733491185,-9.197098777700337,13.014065383814884,24.06188921817766,-17.731582144429105,3.305134514,1.668011811,,,,"86.4",1869,"6.1",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.44",,,,,,,,10,2,"Changeup",0,0,0,0,0,0,0,0,"Infield shade","Standard",148,"-0.005","0.077",,,,,"-0.077",,0,0,0.52,0.48,34,27,35,27,1,0,,,,,"1.83","1.06","-1.06",,,,,,
