"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"SL","2026-07-09","83.5","1.75","6.25","Whisenhunt, Carson",681198,687931,"field_out","hit_into_play",,,,,7,"TJ Rumfield lines out to center fielder Drew Gilbert.","R","L","L","SF","COL","X",8,"line_drive",2,1,2026,"-0.17","-0.02",-0.43675259894362434,2.247396507434167,,,696100,1,6,"Top",124.32,64.86,,,,,-4.648957712717686,-121.69968902665022,-2.629719339009122,-0.963287980757966,20.40463588009571,-32.1611224575829,3.422736221,1.727362205,333,"94",23,"84.6",2452,"6.6",823201,701852,805811,650333,669477,642715,671218,687551,808982,"53.88",0.14,0.161,"0",1,0,0,3,48,4,"Slider",4,2,2,4,2,4,2,4,"Standard","Standard",320,"0.047","-0.312","66.4","6.5",,0.259,"0.312","94.0",2,-2,0.768,0.23199999999999998,25,26,26,26,3,2,22,1,,1,"3.25","-0.17","-0.17","50.6",9.566609200550753,-0.12484750736861755,31.738188994482254,35.62314131924329,32.235027760908665
"SL","2026-07-09","84.7","1.9","6.16","Whisenhunt, Carson",681198,687931,,"ball",,,,,11,,"R","L","L","SF","COL","B",,,1,1,2026,"-0.29","-0.07",-0.0635139874437452,3.8124578469369013,,,696100,1,6,"Top",,,,,,,-3.9618890795762476,-123.41648058302998,1.109583382420701,-2.329958588584471,21.67849779339172,-33.2631540998905,3.422736221,1.727362205,,,,"85.8",2643,"6.7",823201,701852,805811,650333,669477,642715,671218,687551,808982,"53.83",,,,,,,,48,3,"Slider",4,2,2,4,2,4,2,4,"Standard","Standard",299,"-0.008","0.063",,,,,"-0.063",,2,-2,0.776,0.22399999999999998,25,26,26,26,3,2,22,1,,1,"3.21","-0.29","-0.29","51.7",,,,,
"FF","2026-07-09","91.3","1.78","6.34","Whisenhunt, Carson",681198,687931,,"called_strike",,,,,1,,"R","L","L","SF","COL","S",,,1,0,2026,"0.74","1.52",-0.8029775528108873,2.9696554677672693,,,696100,1,6,"Top",,,,,,,-8.101441422658691,-132.74692751391623,-5.767633332644961,10.413415724181142,26.968803837290277,-13.165089555553669,3.422736221,1.727362205,,,,"92.2",2185,"6.8",823201,701852,805811,650333,669477,642715,671218,687551,808982,"53.72",,,,,,,,48,2,"4-Seam Fastball",4,2,2,4,2,4,2,4,"Standard","Standard",141,"0.008","-0.045",,,,,"0.045",,2,-2,0.768,0.23199999999999998,25,26,26,26,3,2,22,1,,1,"1.21","0.74","0.74","51.3",,,,,
"SL","2026-07-09","87.1","1.64","6.21","Whisenhunt, Carson",681198,687931,,"blocked_ball",,,,,13,,"R","L","L","SF","COL","B",,,0,0,2026,"0.16","0.09",-0.7007233783570159,0.18588028979164806,,,696100,1,6,"Top",,,,,,,-5.940667567466351,-126.62680516447894,-8.266570463719638,2.927963048851692,24.560013348114122,-29.73582556516689,3.422736221,1.727362205,,,,"87.9",2365,"6.7",823201,701852,805811,650333,669477,642715,671218,687551,808982,"53.77",,,,,,,,48,1,"Slider",4,2,2,4,2,4,2,4,"Standard","Standard",129,"-0.006","0.033",,,,,"-0.033",,2,-2,0.774,0.22599999999999998,25,26,26,26,3,2,22,1,,1,"2.9","0.16","0.16","51.5",,,,,
"FF","2026-07-09","92.6","1.63","6.46","Whisenhunt, Carson",696100,687931,"walk","ball",,,,,12,"Hunter Goodman walks.","R","R","L","SF","COL","B",,,3,2,2026,"0.87","1.49",0.7269516067446411,3.8126269256069234,,,,1,6,"Top",,,,,,,-4.228679375953283,-134.6856487174158,-4.055304693486408,11.538700232125677,30.61145371150407,-13.399474678714215,3.178756562,1.604232283,,,,"93",2260,"6.6",823201,701852,805811,650333,669477,642715,671218,687551,808982,"53.86",,0.698079,"0.7",1,0,0,,47,7,"4-Seam Fastball",4,2,2,4,2,4,2,4,"Infield shade","Standard",140,"-0.031","0.339",,,,,"-0.339",,2,-2,0.805,0.19499999999999995,25,26,26,27,3,2,22,1,,1,"1.18","0.87","-0.87","54.0",,,,,
"CH","2026-07-09","81.8","2.02","6.07","Whisenhunt, Carson",696100,687931,,"foul",,,,,8,,"R","R","L","SF","COL","S",,,3,2,2026,"1.39","0.48",0.02547626781732526,1.7195314075482449,,,,1,6,"Top",,,,,,,-7.211046998825538,-118.85540865409406,-3.957336663994868,14.523139604590247,22.87198561273558,-27.033222942695417,3.178756562,1.604232283,166,"102",11,"82.5",1938,"6.8",823201,701852,805811,650333,669477,642715,671218,687551,808982,"53.69",,,,,,,,47,6,"Changeup",4,2,2,4,2,4,2,4,"Infield shade","Standard",111,"0","0","80.8","7.8",,,"0","102.0",2,-2,0.805,0.19499999999999995,25,26,26,27,3,2,22,1,,1,"2.94","1.39","-1.39","45.3",15.352459586523674,-13.57765319491486,27.937923622804526,37.472502710339754,51.32140849395627
"SL","2026-07-09","87.4","1.88","6.16","Whisenhunt, Carson",696100,687931,,"ball",,,,,13,,"R","R","L","SF","COL","B",,,2,2,2026,"-0.1","0.23",-0.2751397348852751,0.3700012980362457,,,,1,6,"Top",,,,,,,-4.960933381922906,-127.07649681129388,-8.108586711542587,-0.20444934984399635,23.2400676565973,-28.360285423109875,3.178756562,1.604232283,,,,"88.6",2580,"6.9",823201,701852,805811,650333,669477,642715,671218,687551,808982,"53.64",,,,,,,,47,5,"Slider",4,2,2,4,2,4,2,4,"Infield shade","Standard",102,"-0.008","0.112",,,,,"-0.112",,2,-2,0.813,0.18700000000000006,25,26,26,27,3,2,22,1,,1,"2.73","-0.1","0.1","52.0",,,,,
"FF","2026-07-09","92","1.7","6.4","Whisenhunt, Carson",696100,687931,,"swinging_strike",,,,,11,,"R","R","L","SF","COL","S",,,2,1,2026,"0.96","1.41",-0.1782012736618257,3.384267571497306,,,,1,6,"Top",,,,,,,-6.873917208432495,-133.78289602173024,-4.751739866226047,13.057144363960326,28.267682222968606,-14.447094601861902,3.178756562,1.604232283,,,,"92.7",2257,"6.7",823201,701852,805811,650333,669477,642715,671218,687551,808982,"53.79",,,,,,,,47,4,"4-Seam Fastball",4,2,2,4,2,4,2,4,"Infield shade","Standard",140,"0.007","-0.077","72.7","6.1","0.188945808",,"0.077",,2,-2,0.806,0.19399999999999995,25,26,26,27,3,2,22,1,,1,"1.29","0.96","-0.96","58.0",11.620926023209131,19.64369981400999,20.113885380084724,34.9318844387491,22.192131319467016
"CH","2026-07-09","82.1","2.04","6.12","Whisenhunt, Carson",696100,687931,,"called_strike",,,,,5,,"R","R","L","SF","COL","S",,,2,0,2026,"1.37","0.88",-0.04246085982778136,2.543493185141105,,,,1,6,"Top",,,,,,,-7.412206027266851,-119.43750766651475,-3.1113676011638787,14.551376258098083,21.941562227216806,-23.371108419784626,3.178756562,1.604232283,,,,"82.9",2011,"6.7",823201,701852,805811,650333,669477,642715,671218,687551,808982,"53.75",,,,,,,,47,3,"Changeup",4,2,2,4,2,4,2,4,"Infield shade","Standard",115,"0.007","-0.07",,,,,"0.07",,2,-2,0.799,0.20099999999999996,25,26,26,27,3,2,22,1,,1,"2.49","1.37","-1.37","45.5",,,,,
"FF","2026-07-09","92.3","1.69","6.41","Whisenhunt, Carson",696100,687931,,"ball",,,,,12,,"R","R","L","SF","COL","B",,,1,0,2026,"0.93","1.5",1.4940215079290473,2.5187288822273897,,,,1,6,"Top",,,,,,,-2.5852690026618723,-134.35313947197653,-7.25617915410288,11.86712209278029,27.384645406958878,-12.625212681242523,3.178756562,1.604232283,,,,"93.3",2342,"6.7",823201,701852,805811,650333,669477,642715,671218,687551,808982,"53.79",,,,,,,,47,2,"4-Seam Fastball",4,2,2,4,2,4,2,4,"Infield shade","Standard",141,"-0.007","0.077",,,,,"-0.077",,2,-2,0.806,0.19399999999999995,25,26,26,27,3,2,22,1,,1,"1.16","0.93","-0.93","54.2",,,,,
