"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"KC","2026-07-25","77.2","2.55","6.13","Siri, Jose",642350,592662,"double","hit_into_play",,,,,8,"Jose Siri doubles (5) on a fly ball to first baseman Rafael Devers, deflected by right fielder Jung Hoo Lee.","R","R","L","SF","LAA","X",9,"fly_ball",1,2,2026,"-0.7","-0.82",0.12009842645148494,1.858983653694617,,,,0,5,"Top",181.16,145.98,,,,,-3.7995551972112187,-112.55591084039756,-0.48279147661690414,-5.351903124492272,18.22059133038775,-39.32822471635349,3.305134514,1.668011811,191,"80.1",55,"77.2",2130,"6",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.53",0.031,0.028,"1.25",1,1,1,3,40,4,"Knuckle Curve",9,0,0,9,0,9,0,9,"Standard","Standard",314,"-0.006","0.798","77.1","7.8",,0.031,"-0.798","88.0",9,-9,0.994,0.006000000000000005,34,30,35,31,2,1,,,,,"4.6","-0.7","0.7",,9.007207848262343,-0.21728128040097625,34.577718161397875,36.03486628457333,31.972247651485954
"FF","2026-07-25","92.1","2.74","6.09","Siri, Jose",642350,592662,,"swinging_strike",,,,,12,,"R","R","L","SF","LAA","S",,,1,1,2026,"0.77","1.35",0.8427300026999944,3.24281798941956,,,,0,5,"Top",,,,,,,-6.408331510164096,-134.12555306979496,-4.239166477282517,10.558800400887238,26.25580325115657,-15.102263115033152,3.305134514,1.668011811,,,,"92.2",2344,"6.1",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.42",,,,,,,,40,3,"4-Seam Fastball",9,0,0,9,0,9,0,9,"Standard","Standard",147,"0.001","-0.062","69.4","6.4","0.560272128",,"0.062",,9,-9,0.993,0.007000000000000006,34,30,35,31,2,1,,,,,"1.31","0.77","-0.77",,-5.99174257093209,36.54217810685735,28.394171881014692,44.06015594749206,2.2271444856245566
"CH","2026-07-25","82.9","2.93","6.12","Siri, Jose",642350,592662,,"called_strike",,,,,2,,"R","R","L","SF","LAA","S",,,1,0,2026,"1.19","0.77",0.25292073913571,3.250778367327711,,,,0,5,"Top",,,,,,,-8.345267051710033,-120.69249013779088,-1.541415536047209,13.031694626548289,17.93677994754519,-24.4756003122198,3.305134514,1.668011811,,,,"83.4",1629,"6.1",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.4",,,,,,,,40,2,"Changeup",9,0,0,9,0,9,0,9,"Standard","Standard",139,"0","-0.058",,,,,"0.058",,9,-9,0.993,0.007000000000000006,34,30,35,31,2,1,,,,,"2.48","1.19","-1.19",,,,,,
"FF","2026-07-25","88.3","2.96","6.08","Siri, Jose",642350,592662,,"ball",,,,,14,,"R","R","L","SF","LAA","B",,,0,0,2026,"0.88","1.32",2.1773700591856304,1.6768170152499156,,,,0,5,"Top",,,,,,,-3.7217577301935205,-128.63834687327568,-7.287076322629147,10.539264918829968,21.687525033164505,-16.18983978719747,3.305134514,1.668011811,,,,"88.7",2246,"6.1",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.45",,,,,,,,40,1,"4-Seam Fastball",9,0,0,9,0,9,0,9,"Standard","Standard",143,"0","0.044",,,,,"-0.044",,9,-9,0.993,0.007000000000000006,34,30,35,31,2,1,,,,,"1.55","0.88","-0.88",,,,,,
"KC","2026-07-25","79.9","2.78","6.17","Siri, Jose",642350,592662,"field_out","hit_into_play",,,,,14,"Jose Siri flies out to right fielder Jung Hoo Lee in foul territory.","R","R","L","SF","LAA","X",9,"fly_ball",0,1,2026,"-0.15","-0.73",0.5777656051856533,1.4840397967364924,,,666176,2,2,"Top",196.4,144.59,,,,,-4.483028123966675,-116.4306842847613,-2.068609983688738,-0.692943268304085,18.798308194575984,-38.74187567509114,3.305134514,1.668011811,216,"85.6",57,"80.2",2275,"6.1",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.4",0.029,0.035,"0",1,0,0,3,12,2,"Knuckle Curve",0,0,0,0,0,0,0,0,"Standard","Standard",316,"0.02","-0.237","78.2","8.7",,0.044,"0.237","88.0",0,0,0.531,0.469,34,30,35,31,1,0,,,,,"4.25","-0.15","0.15",,20.772914934330473,-0.8082785426482056,34.94450639820405,41.3680019864576,35.16940271341514
"FF","2026-07-25","92.6","2.78","6.16","Siri, Jose",642350,592662,,"called_strike",,,,,3,,"R","R","L","SF","LAA","S",,,0,0,2026,"0.6","1.62",0.7958049187971888,3.3190965488568405,,,666176,2,2,"Top",,,,,,,-6.309518008050032,-134.7694691152443,-4.866855657559931,8.619463696617453,27.589340376611737,-11.564455471105386,3.305134514,1.668011811,,,,"92.6",2296,"6.2",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.33",,,,,,,,12,1,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",136,"0.003","-0.042",,,,,"0.042",,0,0,0.528,0.472,34,30,35,31,1,0,,,,,"1.03","0.6","-0.6",,,,,,
"FF","2026-07-25","95.2","-2.44","5.99","Siri, Jose",642350,663941,"walk","ball",,,,,11,"Jose Siri walks.","R","R","R","SF","LAA","B",,,3,1,2026,"-0.83","1.21",-0.7855407053088643,3.6658452353865854,,,,0,7,"Top",,,,,,,6.243760127062169,-138.5115367493891,-3.0595157177547994,-12.137686634387428,30.996260097484672,-16.084038879113276,3.305134514,1.668011811,,,,"96",2109,"6.8",823197,691740,646240,650333,669477,642715,671218,687551,808982,"53.73",,0.698079,"0.7",1,0,0,,56,5,"4-Seam Fastball",9,0,0,9,0,9,0,9,"Standard","Standard",218,"-0.001","0.264",,,,,"-0.264",,9,-9,0.997,0.0030000000000000027,30,30,30,31,1,2,,,,,"1.3","0.83","0.83",,,,,,
"FF","2026-07-25","96.1","-2.52","5.87","Siri, Jose",642350,663941,,"ball",,,,,12,,"R","R","R","SF","LAA","B",,,2,1,2026,"-0.68","1.16",0.8701365066734333,3.741685071055527,,,,0,7,"Top",,,,,,,10.481040730539084,-139.65151957760324,-2.6152816700689736,-10.980925691311231,27.036269801131727,-16.51294401822787,3.305134514,1.668011811,,,,"97.2",2179,"6.7",823197,691740,646240,650333,669477,642715,671218,687551,808982,"53.8",,,,,,,,56,4,"4-Seam Fastball",9,0,0,9,0,9,0,9,"Standard","Standard",215,"-0.001","0.144",,,,,"-0.144",,9,-9,0.998,0.0020000000000000018,30,30,30,31,1,2,,,,,"1.29","0.68","0.68",,,,,,
"SL","2026-07-25","88.9","-1.37","6.26","Siri, Jose",642350,676775,"single","hit_into_play",,,,,14,"Umpire reviewed (play at 1st), call on the field was overturned: Jose Siri singles on a ground ball to third baseman Christian Koss.","R","R","R","SF","LAA","X",5,"ground_ball",0,1,2026,"0.15","0.02",0.9314628924082461,1.103422729550255,,,,1,9,"Top",103.33,177.13,,,,,5.2336968802894726,-129.36849341066062,-6.411903243375418,0.714425871014155,25.024122246778777,-30.905007740441455,3.305134514,1.668011811,2,"34.1",-25,"89",2323,"6.2",823197,691740,669477,683679,683766,642715,671218,687551,687529,"54.29",0.376,0.338,"0.9",1,1,0,1,74,2,"Slider",9,1,1,9,1,9,1,9,"Standard","Standard",42,"0","0.461","71.4","8.2",,0.381,"-0.461","88.0",8,-8,0.999,0.0010000000000000009,28,30,28,31,1,3,,,,,"2.85","-0.15","-0.15",,8.032481389545765,9.384160062573002,38.07721589574494,43.547016977064054,21.09944513877967
"ST","2026-07-25","84.3","-2.52","5.69","Siri, Jose",642350,663941,,"ball",,,,,12,,"R","R","R","SF","LAA","B",,,1,1,2026,"1.67","0.02",1.315710082589459,3.239407513235272,,,,0,7,"Top",,,,,,,5.455641755219199,-122.59167094073115,0.9255895625770456,15.481170450830124,26.896050120111642,-32.44270087748548,3.305134514,1.668011811,,,,"84.5",2904,"6.7",823197,691740,646240,650333,669477,642715,671218,687551,808982,"53.78",,,,,,,,56,3,"Sweeper",9,0,0,9,0,9,0,9,"Standard","Standard",56,"0","0.064",,,,,"-0.064",,9,-9,0.998,0.0020000000000000018,30,30,30,31,1,2,,,,,"3.22","-1.67","-1.67",,,,,,
