"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"SI","2026-07-25","90.2","2.64","6.09","Schanuel, Nolan",694384,592662,"single","hit_into_play",,,,,5,"Nolan Schanuel singles on a line drive to center fielder Drew Gilbert.","R","L","L","SF","LAA","X",8,"line_drive",1,1,2026,"1.41","1.13",-0.2115017796420522,2.698824718839396,,,,1,6,"Top",83.5,81.34,,,,,-9.987412329744862,-131.02806869917447,-4.7058027591395755,18.323516008999245,26.016305521543106,-18.331699522941676,3.290214895,1.660482283,261,"91.6",18,"89.9",2184,"6.1",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.42",0.594,0.56,"0.9",1,1,0,4,50,3,"Sinker",9,0,0,9,0,9,0,9,"Infield shade","Standard",134,"-0.001","0.427","67.7","6.3",,0.729,"-0.427","91.6",9,-9,0.997,0.0030000000000000027,34,24,35,24,3,2,,,,,"1.67","1.41","1.41",,-3.9614415804676497,7.529277391177299,34.964544400175825,34.19420067322138,26.285899416079573
"SL","2026-07-25","83.1","2.73","6.13","Schanuel, Nolan",694384,592662,,"ball",,,,,13,,"R","L","L","SF","LAA","B",,,0,1,2026,"0.2","0.37",-0.4608558195261786,1.4823386720047051,,,,1,6,"Top",,,,,,,-7.581997146427389,-121.02653467691447,-4.8081415408214445,3.1540466432632384,18.133847033377684,-27.933974755319586,3.290214895,1.660482283,,,,"83.5",2253,"6",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.48",,,,,,,,50,2,"Slider",9,0,0,9,0,9,0,9,"Infield shade","Standard",163,"0","0.035",,,,,"-0.035",,9,-9,0.997,0.0030000000000000027,34,24,35,24,3,2,,,,,"2.87","0.2","0.2",,,,,,
"FF","2026-07-25","91.1","2.54","6.08","Schanuel, Nolan",694384,592662,,"called_strike",,,,,4,,"R","L","L","SF","LAA","S",,,0,0,2026,"0.67","1.52",-0.3447775987162087,2.4347616074228706,,,,1,6,"Top",,,,,,,-8.590237850845753,-132.22373966968476,-6.306656439161766,9.680958969300205,28.76440289917819,-13.145030486316175,3.290214895,1.660482283,,,,"90.9",2308,"6.3",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.16",,,,,,,,50,1,"4-Seam Fastball",9,0,0,9,0,9,0,9,"Infield shade","Standard",146,"0","-0.042",,,,,"0.042",,9,-9,0.997,0.0030000000000000027,34,24,35,24,3,2,,,,,"1.24","0.67","0.67",,,,,,
"SI","2026-07-25","89.4","2.65","6.11","Schanuel, Nolan",694384,592662,"field_out","hit_into_play",,,,,8,"Nolan Schanuel grounds out to first baseman Rafael Devers.","R","L","L","SF","LAA","X",3,"ground_ball",0,0,2026,"1.25","1",0.27617436585267785,2.0862745083622105,,,,0,4,"Top",149.28,166.38,,,,,-8.396747427019337,-129.92924847160853,-5.845080544348018,15.828291105724537,25.03832198042313,-19.744788141730407,3.290214895,1.660482283,12,"93.6",-10,"89.3",2163,"6.1",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.4",0.182,0.164,"0",1,0,0,2,30,1,"Sinker",5,0,0,5,0,5,0,5,"Infield shade","Standard",139,"0.013","-0.264","72.2","7.0",,0.215,"0.264","93.6",5,-5,0.921,0.07899999999999996,34,24,35,24,2,1,,,,,"1.84","1.25","1.25",,6.219764372571336,-8.493140222764483,41.44524981994707,28.20851357957805,34.3797218803377
"ST","2026-07-25","82.2","-2.44","5.66","Schanuel, Nolan",694384,663941,"field_out","hit_into_play",,,,,4,"Nolan Schanuel flies out to center fielder Drew Gilbert.","R","L","R","SF","LAA","X",8,"fly_ball",1,1,2026,"1.69","0.37",-0.6386819289222554,2.7446836003171686,,,,1,8,"Top",91.69,89.75,,,,,0.7038824306191742,-119.77827421140402,-0.6057923959749099,16.089496670253315,23.75772190147276,-28.709330208574215,3.290214895,1.660482283,284,"93.5",44,"82.8",2712,"6.7",823197,691740,669477,650333,683766,642715,671218,687551,687529,"53.82",0.009,0.013,"0",1,0,0,3,68,3,"Sweeper",9,1,1,9,1,9,1,9,"Strategic","Standard",63,"0","-0.257","72.5","7.1",,0.024,"0.257","93.5",8,-8,0.999,0.0010000000000000009,30,24,30,24,1,3,,,,,"3","-1.69","1.69",,9.13509101407557,-3.21015726902839,29.789290697364482,41.20879045297219,36.81757227982567
"ST","2026-07-25","81.3","-2.03","6","Schanuel, Nolan",694384,663941,,"foul",,,,,9,,"R","L","R","SF","LAA","S",,,1,0,2026,"1.05","-0.83",0.7056990135078174,2.095198600140907,,,,1,8,"Top",,,,,,,4.065838216966108,-118.50257676777512,-0.3414407381657498,9.191413288437278,21.245722328100175,-40.20494587377725,3.290214895,1.660482283,7,"75",-20,"82.7",2433,"7",823197,691740,669477,650333,683766,642715,671218,687551,687529,"53.52",,,,,,,,68,2,"Sweeper",9,1,1,9,1,9,1,9,"Standard","Standard",25,"0","-0.05","72.8","7.6",,,"0.05","88.0",8,-8,0.999,0.0010000000000000009,30,24,30,24,1,3,,,,,"4.25","-1.05","1.05",,21.219070195408847,-28.31203957670821,35.973181998249956,25.717895633093374,51.385270198111684
"FF","2026-07-25","94.3","-2.53","5.79","Schanuel, Nolan",694384,663941,,"ball",,,,,11,,"R","L","R","SF","LAA","B",,,0,0,2026,"-0.96","0.97",-1.8823930075864612,3.2980509843820864,,,,1,8,"Top",,,,,,,3.8655103229679924,-137.2040211919574,-2.772156574306714,-12.953229243899525,31.601364818516156,-19.597613465919903,3.290214895,1.660482283,,,,"94.8",1990,"6.7",823197,691740,669477,650333,683766,642715,671218,687551,687529,"53.82",,,,,,,,68,1,"4-Seam Fastball",9,1,1,9,1,9,1,9,"Strategic","Standard",223,"0","0.043",,,,,"-0.043",,8,-8,0.999,0.0010000000000000009,30,24,30,24,1,3,,,,,"1.61","0.96","-0.96",,,,,,
"KC","2026-07-25","76.8","2.59","6.35","Schanuel, Nolan",694384,592662,"strikeout","swinging_strike",,,,,13,"Nolan Schanuel strikes out swinging.","R","L","L","SF","LAA","S",2,,2,2,2026,"-0.55","-0.64",-0.9024873963102304,1.6049337399117527,,,,0,2,"Top",,,,,,,-6.259703389904965,-111.85153464710311,-1.7182525752782536,-3.63324006653822,17.66455158314801,-37.50693959856683,3.290214895,1.660482283,,,,"76.8",2177,"5.9",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.57",,0,"0",1,0,0,,9,5,"Knuckle Curve",0,0,0,0,0,0,0,0,"Infield shade","Standard",329,"0.02","-0.234","68.2","7.5","1.601533704",,"0.234",,0,0,0.503,0.497,34,24,35,24,1,0,,,,,"4.46","-0.55","-0.55",,18.55904074232495,-20.190136991694942,32.622613215271635,39.67157924975707,50.42052779955597
"SI","2026-07-25","92.3","2.43","6.29","Schanuel, Nolan",694384,592662,,"ball",,,,,11,,"R","L","L","SF","LAA","B",,,1,2,2026,"0.99","1.13",-1.5162889614264754,3.24157774205497,,,,0,2,"Top",,,,,,,-12.014394540436758,-134.0067310557286,-4.317508350660124,14.154372436669012,23.018903837036827,-17.641060797006663,3.290214895,1.660482283,,,,"92.5",2145,"6.1",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.39",,,,,,,,9,4,"Sinker",0,0,0,0,0,0,0,0,"Infield shade","Standard",141,"-0.004","0.046",,,,,"-0.046",,0,0,0.507,0.493,34,24,35,24,1,0,,,,,"1.51","0.99","0.99",,,,,,
"FF","2026-07-25","92.6","2.57","6.25","Schanuel, Nolan",694384,592662,,"foul",,,,,1,,"R","L","L","SF","LAA","S",,,1,1,2026,"0.93","1.45",-0.3538889770293837,3.279970197414957,,,,0,2,"Top",,,,,,,-9.385256716993895,-134.6196481171422,-4.804154569334905,13.217400371807132,27.095032662961096,-13.666969048402384,3.290214895,1.660482283,217,"74.6",44,"92.6",2294,"6.1",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.35",,,,,,,,9,3,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Infield shade","Standard",147,"0.006","-0.062","66.1","6.9",,,"0.062","88.0",0,0,0.501,0.499,34,24,35,24,1,0,,,,,"1.2","0.93","0.93",,6.6713680822557375,-5.533904041042535,29.628406454278206,36.33189221498293,33.122737591787136
