"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"SI","2026-07-19","97.1","-4.25","5.26","McLean, Nolan",547180,690997,"strikeout","called_strike",,,,,2,"Bryce Harper called out on strikes.","R","L","R","PHI","NYM","S",2,,2,2,2026,"-1.52","0.41",0.2260905391770316,3.0917728056519342,,607208,656941,2,6,"Bot",,,,,,,15.335996837398046,-140.75181875023821,-1.082100641078313,-23.33058136343505,26.043844966636474,-26.667636434171865,3.26476378,1.647637795,,,,"97.7",2342,"6.4",823439,620443,683146,543760,666182,596019,621438,805999,701807,"54.05",,0,"0",1,0,0,,54,5,"Sinker",0,6,0,6,6,0,0,6,"Standard","Standard",236,"-0.011","-0.222",,,,,"0.222",,-6,-6,0.028,0.028,24,33,25,34,3,2,9,1,,1,"1.99","1.52","-1.52","27.1",,,,,
"FF","2026-07-19","97.9","-3.99","5.34","McLean, Nolan",547180,690997,,"ball",,,,,11,,"R","L","R","PHI","NYM","B",,,1,2,2026,"-1.2","0.99",-1.0301242390170746,4.327846963420661,,607208,656941,2,6,"Bot",,,,,,,10.724446718932457,-142.2637099313608,0.5361000760254095,-18.55357554393335,28.350058420198756,-18.960121214335476,3.26476378,1.647637795,,,,"98.8",2466,"6.6",823439,620443,683146,543760,666182,596019,621438,805999,701807,"53.94",,,,,,,,54,4,"4-Seam Fastball",0,6,0,6,6,0,0,6,"Standard","Standard",232,"0.002","0.009",,,,,"-0.009",,-6,-6,0.026,0.026,24,33,25,34,3,2,9,1,,1,"1.37","1.2","-1.2","30.1",,,,,
"SI","2026-07-19","95.3","-4.1","5.25","McLean, Nolan",547180,690997,,"foul",,,,,8,,"R","L","R","PHI","NYM","S",,,1,1,2026,"-1.72","0.53",-0.2066107865071256,2.0289647723757396,,607208,656941,2,6,"Bot",,,,,,,14.043602263979304,-138.14909874050886,-3.8251543402096413,-25.126818777446378,29.022290362057326,-24.606546172236637,3.26476378,1.647637795,196,"74.9",32,"95.6",2311,"6.5",823439,620443,683146,543760,666182,596019,621438,805999,701807,"53.98",,,,,,,,54,3,"Sinker",0,6,0,6,6,0,0,6,"Standard","Standard",234,"-0.003","-0.053","71.8","6.9",,,"0.053","88.0",-6,-6,0.029,0.029,24,33,25,34,3,2,9,1,,1,"1.98","1.72","-1.72","29.2",-2.4744331545975755,11.207995699577777,43.862576600303775,40.427234142417895,20.086866962471024
"FF","2026-07-19","96.7","-3.68","5.48","McLean, Nolan",547180,690997,,"ball",,,,,12,,"R","L","R","PHI","NYM","B",,,0,1,2026,"-0.85","1.39",0.09380548824043722,3.5563734099306696,,607208,656941,2,6,"Bot",,,,,,,11.913244827259264,-140.41754974914204,-2.632998584065784,-13.848040547644555,30.51529093021846,-13.340646907803796,3.26476378,1.647637795,,,,"97.1",2475,"6.5",823439,620443,683146,543760,666182,596019,621438,805999,701807,"53.96",,,,,,,,54,2,"4-Seam Fastball",0,6,0,6,6,0,0,6,"Standard","Standard",225,"0.001","0.016",,,,,"-0.016",,-6,-6,0.028,0.028,24,33,25,34,3,2,9,1,,1,"1.05","0.85","-0.85","30.4",,,,,
"CU","2026-07-19","82","-4.31","5.25","McLean, Nolan",547180,690997,,"swinging_strike",,,,,14,,"R","L","R","PHI","NYM","S",,,0,0,2026,"1.39","-1.1",0.8108500545537518,0.8426408313303293,,607208,656941,2,6,"Bot",,,,,,,8.650717396876233,-118.94866908554319,-0.734553445281844,10.721858925794155,29.72478621612702,-42.48549971932639,3.26476378,1.647637795,,,,"80.8",3495,"6.4",823439,620443,683146,543760,666182,596019,621438,805999,701807,"54.15",,,,,,,,54,1,"Curveball",0,6,0,6,6,0,0,6,"Standard","Standard",47,"-0.002","-0.034","75.6","8.8","6.782447988",,"0.034",,-6,-6,0.03,0.03,24,33,25,34,3,2,9,1,,1,"4.6","-1.39","1.39","27.7",28.04045713843957,-35.05893912519165,38.20065489932354,31.7280433367128,53.09060347097012
"ST","2026-07-19","86.8","-4.32","5.13","McLean, Nolan",656941,690997,"walk","ball",,,,,11,"Kyle Schwarber walks.","R","L","R","PHI","NYM","B",,,3,2,2026,"1.09","0.33",-1.3000890907814069,2.840348663396148,,607208,,2,6,"Bot",,,,,,,4.85645403636579,-126.55921830329973,0.09186790625353491,10.962742184689713,22.289379862241386,-28.78857194506299,3.180511811,1.60511811,,,,"87.2",3095,"6.2",823439,620443,683146,543760,666182,596019,621438,805999,701807,"54.35",,0.698289,"0.7",1,0,0,,53,6,"Sweeper",0,6,0,6,6,0,0,6,"Standard","Standard",71,"0.005","0.148",,,,,"-0.148",,-6,-6,0.025,0.025,24,33,25,33,3,2,9,1,,1,"2.65","-1.09","1.09","24.0",,,,,
"SI","2026-07-19","96.9","-4.31","5.3","McLean, Nolan",656941,690997,,"ball",,,,,11,,"R","L","R","PHI","NYM","B",,,2,2,2026,"-1.78","0.43",-1.0465059484609156,4.43175151945968,,607208,,2,6,"Bot",,,,,,,12.690418092802597,-140.56351916709897,2.3874866724687,-26.47300555434741,30.8806479313818,-27.286510237551006,3.180511811,1.60511811,,,,"96.7",2432,"6.3",823439,620443,683146,543760,666182,596019,621438,805999,701807,"54.25",,,,,,,,53,5,"Sinker",0,6,0,6,6,0,0,6,"Standard","Standard",240,"0.002","0.059",,,,,"-0.059",,-6,-6,0.023,0.023,24,33,25,33,3,2,9,1,,1,"2.01","1.78","-1.78","27.1",,,,,
"ST","2026-07-19","87.8","-4.14","5.21","McLean, Nolan",656941,690997,,"ball",,,,,1,,"R","L","R","PHI","NYM","B",,,1,2,2026,"1.37","0.46",-0.8135728340637896,3.236182667746057,,607208,,2,6,"Bot",,,,,,,5.029079954374772,-127.70662752708039,0.6164037766709772,13.815469565222545,28.688335451883628,-27.56765018797746,3.180511811,1.60511811,,,,"87.4",3178,"6.3",823439,620443,683146,543760,666182,596019,621438,805999,701807,"54.24",,,,,,,,53,4,"Sweeper",0,6,0,6,6,0,0,6,"Standard","Standard",80,"0.001","0.028",,,,,"-0.028",,-6,-6,0.022,0.022,24,33,25,33,3,2,9,1,,1,"2.52","-1.37","1.37","25.7",,,,,
"CU","2026-07-19","82.6","-4.15","5.31","McLean, Nolan",656941,690997,,"foul",,,,,14,,"R","L","R","PHI","NYM","S",,,1,1,2026,"1.65","-1.18",0.6382401965240243,1.4369310748335744,,607208,,2,6,"Bot",,,,,,,7.470352939984689,-119.93471097148053,0.41935787472410424,14.04032780883136,27.38703678303475,-43.77932129714935,3.180511811,1.60511811,,,,"81.9",3595,"6.3",823439,620443,683146,543760,666182,596019,621438,805999,701807,"54.16",,,,,,,,53,3,"Curveball",0,6,0,6,6,0,0,6,"Standard","Standard",47,"-0.002","-0.071","81.1","8.6",,,"0.071",,-6,-6,0.024,0.024,24,33,25,33,3,2,9,1,,1,"4.59","-1.65","1.65","28.8",25.095279316153448,-39.08914626854469,32.815496896382804,30.90435186277517,48.51473622397472
"CU","2026-07-19","83.3","-4.3","5.23","McLean, Nolan",656941,690997,,"ball",,,,,11,,"R","L","R","PHI","NYM","B",,,0,1,2026,"1.5","-1.22",-1.0131551728033041,2.657016727174299,,607208,,2,6,"Bot",,,,,,,4.421843725691598,-121.03700818159011,3.3028424582478557,13.554092442824642,28.027743594907193,-45.00225811984438,3.180511811,1.60511811,,,,"82.4",3536,"6.2",823439,620443,683146,543760,666182,596019,621438,805999,701807,"54.29",,,,,,,,53,2,"Curveball",0,6,0,6,6,0,0,6,"Standard","Standard",52,"0.001","0.017",,,,,"-0.017",,-6,-6,0.023,0.023,24,33,25,33,3,2,9,1,,1,"4.56","-1.5","1.5","24.8",,,,,
