"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FF","2026-07-25","91.7","2.72","6.09","Neto, Zach",687263,592662,"field_out","hit_into_play",,,,,12,"Zach Neto pops out to third baseman Casey Schmitt in foul territory.","R","R","L","SF","LAA","X",5,"popup",1,2,2026,"0.76","1.26",0.06496474210803027,3.728075704812915,,642350,,1,5,"Top",82.39,173.98,,,,,-8.293984076292256,-133.4012861941865,-2.740438683907885,10.81920364085679,26.405720521467344,-16.63001163694577,3.169980315,1.59980315,128,"98.1",71,"92",2156,"6.3",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.21",0.009,0.009,"0",1,0,0,3,42,4,"4-Seam Fastball",9,0,0,9,0,9,0,9,"Infield shade","Standard",141,"0.002","-0.193","71.5","7.0",,0.012,"0.193","98.1",9,-9,0.993,0.007000000000000006,34,25,35,25,3,2,,,,,"1.43","0.76","-0.76",,27.738927542882013,-17.634956910932154,30.35691343445386,29.272234726349367,39.98695631121685
"FF","2026-07-25","94.1","2.7","6.06","Neto, Zach",687263,592662,,"foul",,,,,5,,"R","R","L","SF","LAA","S",,,1,1,2026,"0.79","1.28",0.24055825232085604,2.215410191875424,,642350,,1,5,"Top",,,,,,,-8.057334714800385,-136.92416081131125,-7.03762475134073,11.493403722925065,24.718888134265264,-14.631764750075043,3.169980315,1.59980315,232,"71.8",34,"94.7",2309,"6.3",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.24",,,,,,,,42,3,"4-Seam Fastball",9,0,0,9,0,9,0,9,"Infield shade","Standard",146,"0.001","-0.077","73.7","6.7",,,"0.077","88.0",9,-9,0.992,0.008000000000000007,34,25,35,25,3,2,,,,,"1.25","0.79","-0.79",,7.095110212197927,3.680858410823423,40.54300593310372,31.203789228924897,30.820865532646398
"KC","2026-07-25","80.5","2.82","6.09","Neto, Zach",687263,592662,,"ball",,,,,12,,"R","R","L","SF","LAA","B",,,0,1,2026,"0","-0.48",1.3795254290413559,2.700539720865975,,642350,,1,5,"Top",,,,,,,-3.154946130505578,-117.26385291273452,0.2673888848546371,0.6161198717342119,21.78030424079861,-36.889132423680884,3.169980315,1.59980315,,,,"80.2",1931,"6",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.51",,,,,,,,42,2,"Knuckle Curve",9,0,0,9,0,9,0,9,"Infield shade","Standard",309,"0","0.037",,,,,"-0.037",,9,-9,0.992,0.008000000000000007,34,25,35,25,3,2,,,,,"3.99","0","0",,,,,,
"SI","2026-07-25","93.4","2.64","6.05","Neto, Zach",687263,592662,,"foul",,,,,2,,"R","R","L","SF","LAA","S",,,0,0,2026,"1.23","1.02",0.09226856487769064,3.0105719513578943,,642350,,1,5,"Top",,,,,,,-9.229636482682155,-135.86444681014467,-4.257003358204894,17.144290371274924,24.840619468128562,-18.708239623028213,3.169980315,1.59980315,111,"89.9",87,"94",2149,"6.3",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.2",,,,,,,,42,1,"Sinker",9,0,0,9,0,9,0,9,"Infield shade","Standard",132,"0","-0.046","73.3","7.1",,,"0.046","89.9",9,-9,0.992,0.008000000000000007,34,25,35,25,3,2,,,,,"1.56","1.23","-1.23",,22.79439373783921,-11.93458349465616,32.88478172779953,29.232379760746635,41.66282233809982
"KC","2026-07-25","78.5","2.68","6.12","Neto, Zach",687263,592662,"strikeout","swinging_strike_blocked",,,,,13,"Zach Neto strikes out swinging.","R","R","L","SF","LAA","S",2,,0,2,2026,"-0.36","-0.9",-0.0580444768169007,0.04906626427291805,,,,1,3,"Top",,,,,,,-5.155637433306278,-114.27843165841128,-4.340926199424966,-2.2735414063081985,20.383138940354048,-39.53197734227271,3.169980315,1.59980315,,,,"78.6",2211,"6.2",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.26",,0,"0",1,0,0,,18,3,"Knuckle Curve",0,0,0,0,0,0,0,0,"Infield shade","Standard",326,"0.011","-0.165","22.6","6.0","13.369962144",,"0.165",,0,0,0.532,0.46799999999999997,34,25,35,25,2,1,,,,,"4.59","-0.36","0.36",,10.190167929402929,24.171660761685942,36.459991086931566,27.982423397416515,31.67269147975986
"FF","2026-07-25","92","2.58","6.11","Neto, Zach",687263,592662,,"swinging_strike",,,,,6,,"R","R","L","SF","LAA","S",,,0,1,2026,"0.69","1.4",0.6670546261733713,2.3046132526894194,,,,1,3,"Top",,,,,,,-6.288799053182582,-133.90109934140173,-6.73552796410853,9.611684370523834,25.031365660704783,-14.069113914243683,3.169980315,1.59980315,,,,"92.2",2353,"6.1",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.38",,,,,,,,18,2,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Infield shade","Standard",143,"0.004","-0.057","70.4","6.1","1.051136832",,"0.057",,0,0,0.528,0.472,34,25,35,25,2,1,,,,,"1.26","0.69","-0.69",,-4.072517989522964,26.165026652953962,43.46654981481897,35.92082239967725,14.41255768099572
"SI","2026-07-25","92.2","2.78","5.97","Neto, Zach",687263,592662,,"swinging_strike",,,,,12,,"R","R","L","SF","LAA","S",,,0,0,2026,"1.35","1.15",1.4636227590342232,2.4349649336563153,,,,1,3,"Top",,,,,,,-6.26007992179116,-134.0612209690541,-5.4503779632171,17.628534242986902,29.059846181790864,-17.28424193745673,3.169980315,1.59980315,,,,"91.9",2200,"6.1",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.37",,,,,,,,18,1,"Sinker",0,0,0,0,0,0,0,0,"Infield shade","Standard",142,"0.003","-0.042","55.8","6.4","1.889201448",,"0.042",,0,0,0.525,0.475,34,25,35,25,2,1,,,,,"1.53","1.35","-1.35",,2.4821380565104327,27.85726864794204,36.22435017445214,44.945235238551135,12.870910594749091
"FF","2026-07-25","96.4","-2.23","6.1","Neto, Zach",687263,663941,"hit_by_pitch","hit_by_pitch",,,,,11,"Zach Neto hit by pitch. Jose Siri to 3rd. Logan O'Hoppe to 2nd.","R","R","R","SF","LAA","B",,,0,1,2026,"-0.57","1.47",-1.1882177639194493,4.429007136525446,,642350,681351,0,7,"Top",,,,,,,4.075582840164651,-140.36331236477676,-2.0885384760157533,-8.475726268182786,34.350120832341176,-12.509107212392543,3.169980315,1.59980315,,,,"96.7",2259,"6.6",823197,691740,646240,650333,669477,642715,671218,687551,808982,"53.92",,0.728904,"0.7",1,0,0,,58,2,"4-Seam Fastball",9,0,0,9,0,9,0,9,"Infield shade","Standard",207,"-0.007","0.489",,,,,"-0.489",,9,-9,0.993,0.007000000000000006,30,25,30,25,1,3,,,,,"0.99","0.57","0.57",,,,,,
"FF","2026-07-25","96.3","-2.15","6.12","Neto, Zach",687263,663941,,"called_strike",,,,,1,,"R","R","R","SF","LAA","S",,,0,0,2026,"-0.7","1.55",-0.5514072983544641,2.9765211117114507,,642350,681351,0,7,"Top",,,,,,,5.822239250955103,-139.90200878342176,-6.098806155584226,-10.585029483311498,34.524422767714576,-10.65578885969069,3.169980315,1.59980315,,,,"96.3",2328,"6.6",823197,691740,646240,650333,669477,642715,671218,687551,808982,"53.91",,,,,,,,58,1,"4-Seam Fastball",9,0,0,9,0,9,0,9,"Infield shade","Standard",210,"0","-0.059",,,,,"0.059",,9,-9,0.993,0.007000000000000006,30,25,30,25,1,3,,,,,"0.93","0.7","0.7",,,,,,
"SL","2026-07-25","85.1","2.79","6.26","Neto, Zach",687263,592662,"field_out","hit_into_play",,,,,9,"Zach Neto grounds out, third baseman Casey Schmitt to first baseman Rafael Devers.","R","R","L","SF","LAA","X",5,"ground_ball",0,2,2026,"0.08","0.23",0.381565930859157,2.077630230801565,,,,0,1,"Top",97.07,166.07,,,,,-5.708273639413036,-123.93864681322499,-3.8322069073869898,1.8167869261356384,20.2842588645294,-29.269738176512387,3.169980315,1.59980315,4,"72.8",-27,"85.2",2241,"5.9",823197,691740,646240,650333,669477,642715,671218,687551,808982,"54.6",0.068,0.064,"0",1,0,0,2,1,3,"Slider",0,0,0,0,0,0,0,0,"Infield shade","Standard",127,"0.013","-0.165","69.2","6.9",,0.075,"0.165","88.0",0,0,0.509,0.491,34,25,35,25,1,0,,,,,"2.86","0.08","-0.08",,11.5306251659315,10.049672714394658,39.35405243518174,32.36878576035947,31.703696342697427
